agentEmail,agentPassword,agentAccount,customerAccount
tashfia.islam102938+jagent1@gmail.com,1234,01302610044,01302610012
tashfia.islam102938+jagent1@gmail.com,1234,01302610044,01302610034
tashfia.islam102938+jagent2@gmail.com,1234,01302610010,01302610032
tashfia.islam102938+jagent2@gmail.com,1234,01302610010,01302610031
tashfia.islam102938+jagent3@gmail.com,1234,01302610020,01302851212
tashfia.islam102938+jagent3@gmail.com,1234,01302610020,01302610013
tashfia.islam102938+jagent4@gmail.com,1234,01302610033,01302610014
tashfia.islam102938+jagent4@gmail.com,1234,01302610033,01302610015
tashfia.islam102938+jagent5@gmail.com,1234,01302610023,01302610016
tashfia.islam102938+jagent5@gmail.com,1234,01302610023,01302610017
